id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2318,Casa Madrona - Urban Oasis 1 block from the park!,2536,Megan,Central Area,Madrona,47.61094,-122.29286,Entire home/apt,349,30,32,2020-02-01,0.21,2,107
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,55,2,148,2019-12-27,1.14,7,352
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55539,-122.38474,Entire home/apt,165,3,41,2020-11-26,0.37,2,210
9534,The Coolest Tangerine Dream MIL!,31481,Cassie,West Seattle,Fairmount Park,47.55624,-122.38598,Entire home/apt,125,3,56,2021-02-19,0.50,2,217
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65479,-122.33652,Entire home/apt,100,4,97,2020-09-28,0.82,2,23
9909,Luna Lower - West Seattle,33360,Laura,West Seattle,Fairmount Park,47.56612,-122.37273,Entire home/apt,80,30,76,2021-02-09,0.55,6,227
10209,Cozy West Seattle Home “Spring Sale”,31553,Mike & Cassandra,Delridge,High Point,47.55365,-122.36326,Private room,75,5,41,2020-12-21,0.30,3,201
11012,"the orange house, quiet 'n central",14942,Joyce,Other neighborhoods,Wallingford,47.65448,-122.33646,Entire home/apt,310,3,97,2021-03-14,0.72,2,145
25002,"Beautiful, Private Spot in Quiet Ballard",102684,Amanda,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,73,2,839,2021-03-07,6.29,1,134
26795,Lake Union Cottage - Shore and City View,114228,Kelly,Cascade,Eastlake,47.63953,-122.32838,Entire home/apt,171,30,64,2020-03-07,0.50,1,353
30712,Cozy Ballard Apartment,107605,Al,Ballard,Loyal Heights,47.67843,-122.38207,Entire home/apt,67,30,97,2020-03-17,0.74,2,358
41401,Home Away From Home - MIL Suite,180441,,Beacon Hill,Mid-Beacon Hill,47.56035,-122.31402,Entire home/apt,95,30,28,2017-05-06,0.22,1,1
43373,Big sunny central house with view!,189356,Michael,Other neighborhoods,Wallingford,47.65231,-122.3319,Private room,59,30,272,2019-11-15,2.10,1,277
48848,green suite seattle - dog friendly,212404,Piper + Kent,Other neighborhoods,Windermere,47.67159,-122.25995,Entire home/apt,100,5,48,2020-06-30,0.38,2,49
68508,"Private Entry 180º Views City, Mountains & Lake",340192,Angela,Cascade,Eastlake,47.63667,-122.32316,Entire home/apt,119,30,0,,,3,173
107884,West Seattle/Alki Beach House,331494,Anne,West Seattle,Alki,47.57874,-122.40227,Entire home/apt,98,2,172,2020-03-08,1.44,1,170
116221,"Modern, Light-Filled Fremont Flat",587302,Danni,Other neighborhoods,Fremont,47.65437,-122.35745,Entire home/apt,73,90,44,2021-03-05,0.37,1,176
117165,Suite+Office in Gorgeous View Home,559827,Judith,West Seattle,Alki,47.56874,-122.40649,Private room,100,2,142,2020-10-15,1.22,2,331
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65244,-122.35108,Entire home/apt,79,3,412,2021-03-22,3.45,2,348
132120,Mother-in-Law Apartment in Seattle,378445,Ralph,Other neighborhoods,Wallingford,47.66923,-122.33517,Entire home/apt,75,30,126,2020-08-03,1.06,1,77
132160,Green Lake Guest Suite with Infrared Sauna,558743,Natalie,Other neighborhoods,Green Lake,47.68205,-122.34275,Entire home/apt,157,3,295,2021-03-13,2.51,1,126
136480,Bright Cheery Room in Seattle House,539515,Shari,Seward Park,Seward Park,47.55679,-122.26301,Private room,85,2,58,2019-06-24,0.62,2,364
140331,Metrobilly Retreat,683617,Jana,Central Area,Harrison/Denny-Blaine,47.62023,-122.29142,Private room,65,1,159,2021-01-16,1.34,1,265
151545,Beautiful Water View Condo near UW + Eastlake!,306615,Tara,Capitol Hill,Portage Bay,47.65062,-122.32008,Entire home/apt,249,30,42,2021-02-27,0.36,3,82
202251,Seattle Phinney Ridge Ballard,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.6777,-122.35984,Entire home/apt,250,30,26,2020-07-31,0.32,1,290
210316,"""The 5-Star House""  #9 The red room",2438665,,Other neighborhoods,Crown Hill,47.70085,-122.367,Private room,60,30,75,2020-11-01,0.91,4,292
217142,Location! Monthly Discounts  spacious 2Bd/2Ba,8243075,Lori,Downtown,Belltown,47.61534,-122.34791,Entire home/apt,200,2,185,2021-02-09,1.61,4,339
219532,"Fun home in Funky Fremont, Seattle",1037115,Rose And Glen,Other neighborhoods,Fremont,47.65589,-122.36055,Entire home/apt,260,30,89,2021-01-01,0.83,1,302
224763,Location! Low Monthly Rates.  Luxury w/pkg inc.,8243075,Lori,Downtown,Belltown,47.61386,-122.34879,Entire home/apt,159,2,124,2021-01-15,1.11,4,338
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.6612,-122.40145,Private room,41,1,218,2020-03-01,1.91,2,200
226677,Sunny Parisian room w/ best cooling memoryfoam bed,30559,Angielena,Beacon Hill,Mid-Beacon Hill,47.55062,-122.31827,Private room,45,2,166,2020-12-02,1.45,7,364
231097,Peaceful NE Seattle guest room,990692,Paul,Lake City,Matthews Beach,47.70639,-122.28075,Private room,53,3,167,2020-02-16,1.45,1,0
233502,West Seattle room with private bath,1215564,Danielle,West Seattle,North Admiral,47.57327,-122.37436,Private room,60,30,1,2012-06-06,0.01,1,46
240920,"Quiet Greenlake home, balcony room in the trees",946910,Nathan,Other neighborhoods,Wallingford,47.66818,-122.33737,Private room,80,30,18,2018-08-06,0.17,1,87
241016,Scandinavian Queen Anne Home,956883,Maija,Queen Anne,North Queen Anne,47.6411,-122.37446,Entire home/apt,215,30,103,2019-10-20,1.16,3,184
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,West Queen Anne,47.63626,-122.37083,Entire home/apt,165,30,299,2019-09-13,2.61,3,365
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Other neighborhoods,Phinney Ridge,47.67717,-122.36169,Entire home/apt,85,30,161,2019-10-31,1.43,1,106
260613,Charming Hideaway in North Ballard,1387754,Dot & Lucy,Ballard,Whittier Heights,47.68649,-122.36846,Entire home/apt,100,3,77,2021-03-17,0.70,1,330
271509,Winter In Belltown Condo-Close to Pike Place,74305,Seattle Oasis,Downtown,Belltown,47.61461,-122.34811,Entire home/apt,266,2,111,2021-02-22,1.07,16,122
277416,Near Space Needle! Sunny 1 bd/1 ba WiFi CLEAN Prkg,8243075,Lori,Downtown,Belltown,47.61607,-122.34668,Entire home/apt,159,2,135,2021-01-03,1.20,4,303
278830,Shining Starlight house in Seattle,1452570,Emily,Queen Anne,West Queen Anne,47.6341,-122.37296,Entire home/apt,439,2,75,2020-02-16,0.71,2,88
282934,Seattle Sojourn Guest Suite,781716,Andra,Other neighborhoods,Fremont,47.65759,-122.35438,Entire home/apt,140,4,104,2021-02-13,1.06,1,2
284087,The Nest in the Heart of the City,721070,Suzanne,Downtown,First Hill,47.6121,-122.33,Entire home/apt,114,3,221,2021-02-28,2.00,1,320
299817,Cap Hill Mountain/Lake View Oasis,1545026,Anna,Capitol Hill,Stevens,47.62388,-122.30133,Entire home/apt,125,30,10,2019-08-17,0.11,1,333
301059,1 Bed Water View Walk To Pike Place & Space Needle,74305,Seattle Oasis,Downtown,Belltown,47.61447,-122.34815,Entire home/apt,139,30,71,2021-01-03,0.65,16,0
303277,Hip Condo Private Deck East Lake Union - Long Term,1204187,Kara,Cascade,Eastlake,47.64481,-122.32429,Entire home/apt,95,30,12,2021-02-12,0.11,1,230
338091,"spacious, great location w view",1717589,Judy,Capitol Hill,Broadway,47.61897,-122.32421,Entire home/apt,165,30,120,2019-10-22,1.10,3,365
340706,Charming Wallingford Apartment,1015653,,Other neighborhoods,Wallingford,47.65588,-122.33214,Entire home/apt,70,4,201,2020-11-29,1.83,1,0
353110,West Seattle Backyard Vacation Cottage,1788284,Eric,West Seattle,North Admiral,47.58003,-122.39025,Entire home/apt,82,30,75,2021-02-27,0.69,1,168
353347,Vacation House West Seattle - Close to Beach,791459,Western Vacation,West Seattle,Arbor Heights,47.5044,-122.37873,Entire home/apt,108,7,41,2020-10-31,0.37,1,327
356248,Seattle 2 BR w Lovely Water Views | BlueStarBnB,306615,Tara,Capitol Hill,Portage Bay,47.65047,-122.32022,Entire home/apt,179,30,25,2019-12-30,0.46,3,29
356608,St. John's Apt. 309 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61401,-122.32235,Entire home/apt,179,3,139,2021-03-17,1.29,4,129
368403,Large Luxury Lakeside Seattle Home,4186078,Trung,Other neighborhoods,Green Lake,47.68354,-122.33091,Entire home/apt,350,4,38,2020-11-29,0.42,1,304
370361,Private Guest Studio- Phinney Ridge,1865986,Sheldon,Other neighborhoods,Phinney Ridge,47.68271,-122.35768,Private room,85,3,226,2020-03-09,2.06,2,7
387078,Modern Capitol Hill. LOCATION Great Monthly Rates,1121532,Melissa,Capitol Hill,Broadway,47.62178,-122.32379,Entire home/apt,119,2,167,2021-01-30,1.66,7,329
392140,Fantastic View-Close to Light Rail-Solar Powered!,3313235,Leslie,Beacon Hill,North Beacon Hill,47.58513,-122.31526,Private room,80,3,263,2020-09-27,2.43,1,363
392779,2/1 Plush Modern Hilltop Retreat,437055,Jyoti And Tushar,Beacon Hill,North Beacon Hill,47.57577,-122.31636,Entire home/apt,155,30,150,2020-10-11,1.40,1,130
430610,❤️󱀁 modern ✔roof deck ✔garage✔90Walkscore [Rare],165390,SeattleStays - Seth Gordon,Other neighborhoods,Wallingford,47.65356,-122.33952,Entire home/apt,296,5,106,2021-01-12,1.01,4,95
461234,Browns House Guest Apt. in Ballard,1870781,Diana,Ballard,Whittier Heights,47.68444,-122.37338,Entire home/apt,99,3,295,2021-03-09,2.75,1,341
461567,MODERN BRIGHT MASTER SUITE CLOSE TO BALLARD,2294267,Donna,Other neighborhoods,Crown Hill,47.6991,-122.3765,Private room,80,30,293,2020-10-17,2.77,1,179
475361,NE Seattle Artist Treehouse Suite!,2342082,Marilyn,Lake City,Cedar Park,47.71652,-122.29126,Entire home/apt,77,30,116,2019-08-26,1.09,1,179
490110,Seattle Pike Place Market Apartment,2403410,Alan,Downtown,Pike-Market,47.61172,-122.34368,Entire home/apt,275,30,44,2018-09-03,0.42,1,323
491958,Columbia City Treehouse Vacation Rental,2431399,Jay,Rainier Valley,Columbia City,47.56007,-122.27873,Entire home/apt,79,2,354,2020-03-08,3.33,1,245
493591,the 5-star  house-# 5-> Marilyn Monroe's room,2438665,,Other neighborhoods,Crown Hill,47.7019,-122.36781,Private room,50,30,181,2021-02-03,1.70,4,353
544433,"8, Sparkling Seattle Center",2612779,Serina,Queen Anne,Lower Queen Anne,47.61957,-122.35655,Entire home/apt,95,30,441,2019-09-02,4.13,1,86
552325,Amazing WaterView Condo near UW + Eastlake - 2B/1B,306615,Tara,Capitol Hill,Portage Bay,47.65043,-122.32021,Entire home/apt,199,30,26,2020-12-31,0.28,3,174
564220,Cute Bungalow #2 - near Light Rail,2774354,Kristin,Rainier Valley,Mount Baker,47.57783,-122.29251,Private room,40,2,195,2020-12-15,1.86,2,88
564428,Cute Bungalow #1 - near Light Rail,2774354,Kristin,Rainier Valley,Mount Baker,47.57796,-122.29373,Private room,47,2,264,2019-11-03,2.49,2,84
565703,Garden Apartment in Madison Valley,2781551,Ron,Central Area,Mann,47.62125,-122.29697,Entire home/apt,93,30,309,2021-01-25,3.17,3,237
566435,"""The 5-Star House"" - # 6->The Hawaiian room",2438665,,Other neighborhoods,Crown Hill,47.70084,-122.36738,Private room,65,30,90,2019-04-28,0.87,4,292
573942,Queen Bee room w/memory foam bed,30559,Angielena,Beacon Hill,Mid-Beacon Hill,47.55004,-122.31742,Private room,45,2,169,2020-10-23,1.62,7,332
580815,St. John's Apt. 319 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.6139,-122.32228,Entire home/apt,99,3,55,2021-03-22,0.58,4,75
598023,West Seattle Home at Alaska Junction!,2613029,Jeffrey,West Seattle,Genesee,47.56221,-122.38598,Private room,79,3,16,2019-11-14,0.17,1,365
604600,condo in seattle,103427,Jacqueline M,Downtown,Central Business District,47.61436,-122.33172,Entire home/apt,214,30,1,2014-09-11,0.01,2,365
607788,"condo Seattle, Wa.",103427,Jacqueline M,Downtown,Central Business District,47.61314,-122.33176,Private room,232,1,2,2013-10-17,0.02,2,365
609252,"Sans souci in Seattle: Clean, fresh air (4 guests)",3018655,,Other neighborhoods,Greenwood,47.69861,-122.36344,Entire home/apt,275,30,3,2020-09-26,0.07,2,0
609421,CLEAN FRESH AIR: Sans souci in Seattle (6 guests),3018655,,Other neighborhoods,Greenwood,47.69656,-122.36275,Entire home/apt,295,30,14,2019-06-18,0.17,2,1
609610,A place to stay: studio apartment,3022709,Laura,Rainier Valley,Columbia City,47.56962,-122.29396,Entire home/apt,250,30,22,2016-09-17,0.21,2,1
609701,Charming Fremont Garden Cottage,3023407,Nan,Other neighborhoods,Fremont,47.65607,-122.35899,Entire home/apt,99,4,523,2021-03-28,4.94,1,224
620518,Spacious quiet/deck Ravenna UW 04-5,3074414,Melissa,Other neighborhoods,Ravenna,47.67494,-122.29081,Entire home/apt,99,30,8,2020-08-19,0.08,74,352
631445,Work from this Belltown View Condo,3139639,Alicia,Downtown,Belltown,47.61348,-122.34843,Entire home/apt,80,30,162,2019-03-29,1.55,1,15
635878,Center UW Spacious 2 Beds (203),3074414,Melissa,University District,University District,47.66154,-122.31359,Entire home/apt,89,81,28,2018-08-18,0.30,74,269
654734,Gorgeous Downtown/Convention Condo,3294357,Rachel & Grace,Downtown,Central Business District,47.61313,-122.33072,Entire home/apt,168,30,81,2020-10-10,0.79,4,272
661708,Elegant Madison Park Townhome,3340441,Roberta,Central Area,Harrison/Denny-Blaine,47.62563,-122.29181,Entire home/apt,245,30,10,2019-10-21,0.29,1,320
674113,Ethiopian cottage #2,3401993,Beth,Rainier Valley,Mount Baker,47.56878,-122.28531,Private room,42,30,232,2018-09-25,2.56,2,365
677266,Moulin Rouge room French style double room,30559,Angielena,Other neighborhoods,Georgetown,47.55041,-122.31857,Private room,48,2,89,2020-08-14,0.86,7,364
677365,Spacious West Seattle Mid Century Modern In-law,926885,Jamie & Kyle,Delridge,South Delridge,47.52957,-122.36013,Entire home/apt,109,1,156,2021-03-16,4.11,2,32
681866,Bright room in Seattle Judkins Park,103825,Patricia,Central Area,Atlantic,47.59243,-122.3019,Private room,60,30,43,2019-11-11,0.42,2,19
689309,Elegance and Coziness in Broadview,3520873,Philippe,Other neighborhoods,Broadview,47.72273,-122.35668,Private room,125,2,10,2018-07-30,0.10,1,346
699460,Ballard Artist's Studio,3587674,Patti And Benson,Ballard,Adams,47.67164,-122.38548,Private room,95,2,248,2020-02-16,2.41,1,305
703058,True Wallingford Craftsman,1611114,Craig,Other neighborhoods,Wallingford,47.65144,-122.33734,Entire home/apt,192,4,172,2021-01-29,1.66,1,81
704764,Elegant Vintage Craftsman Apartment With Garden,3620313,,Queen Anne,North Queen Anne,47.64215,-122.36959,Entire home/apt,141,1,280,2021-03-12,2.79,1,135
706385,Sky Cabin Apartment with Views,2070664,Gillian,Cascade,Eastlake,47.64307,-122.32556,Entire home/apt,117,2,512,2021-03-24,4.99,1,8
708774,Clean and Comfortable Eastlake/Lake Union 1 BR,316200,William,Cascade,Eastlake,47.64,-122.32412,Entire home/apt,109,30,132,2021-01-19,1.31,6,248
723846,"The Cozy Cottage in Maple Leaf (UW, Green Lake)",3737272,Cheryl & Steve,Northgate,Maple Leaf,47.69653,-122.31726,Entire home/apt,95,2,135,2021-02-17,1.36,1,342
741699,Seward Park Zen Retreat 苏厄德公园禅撤退,2535710,Matt,Seward Park,Seward Park,47.55546,-122.27218,Entire home/apt,191,2,238,2021-03-18,2.43,1,126
748526,Mother in law studio-Ballard/phinne,3932149,Amy,Other neighborhoods,Phinney Ridge,47.67945,-122.36355,Entire home/apt,61,30,84,2018-08-23,0.83,1,362
755613,Gem in Mount Baker Neighborhood,3976886,Barbara,Rainier Valley,Mount Baker,47.57375,-122.29272,Private room,78,2,87,2019-09-28,0.86,1,88
757840,Hilltop House - 4 Bdrm Queen Anne Primo Location!,3991908,Becky,Queen Anne,East Queen Anne,47.63349,-122.35611,Entire home/apt,300,4,373,2020-10-05,3.65,1,299
769213,Private Garden Apt w/ Soaking Tub,4057441,Kt,Central Area,Minor,47.61058,-122.31593,Entire home/apt,140,5,484,2020-10-17,5.33,1,123
789229,Designer Loft in Pioneer Square,1872473,Trong And Annie,Downtown,Pioneer Square,47.59393,-122.33262,Entire home/apt,155,30,123,2019-11-23,1.26,1,365
793629,Cheery Seattle House with View,4181120,Candace,Beacon Hill,North Beacon Hill,47.57734,-122.31492,Entire home/apt,101,5,298,2021-03-17,2.96,1,0
794633,Guest House in Madison Valley,2012892,Julius,Central Area,Harrison/Denny-Blaine,47.62385,-122.29204,Entire home/apt,75,7,532,2021-03-07,5.52,1,87
808134,Overlook a Peaceful Courtyard and Walk to Pike Place Market,74305,Seattle Oasis,Downtown,Belltown,47.6145,-122.34821,Entire home/apt,221,2,109,2021-01-02,1.19,16,0
841274,Goat Hill House Apartment,4133943,Jill,Rainier Valley,Mount Baker,47.58357,-122.2959,Entire home/apt,93,3,130,2021-02-24,1.34,1,287
844939,"Five Star Downtown Designer Urban Suite, Space Needle View",4411144,Emma,Downtown,Belltown,47.61503,-122.3475,Entire home/apt,101,30,142,2020-04-04,1.44,2,129
846763,Right at Home in Ravenna,4421734,Tara,Other neighborhoods,Ravenna,47.68104,-122.30929,Private room,42,30,71,2020-10-31,0.71,1,254
877203,In Jimi Hendrix's neighborhood 2,287172,,Central Area,Atlantic,47.60027,-122.29987,Private room,53,1,82,2021-02-25,0.84,2,357
879181,In Jimi Hendrix's neighborhood 3,287172,,Central Area,Atlantic,47.60051,-122.30199,Private room,53,2,88,2021-03-06,0.89,2,293
902243,"LOCATION! WiFi, Luxury 2br/2ba/LOCATION PRKG!",8243075,Lori,Downtown,Belltown,47.61659,-122.34484,Entire home/apt,200,2,104,2021-02-15,1.07,4,297
902609,Private studio in Seattle,3264544,Fabio,Delridge,Highland Park,47.52383,-122.35287,Entire home/apt,42,2,190,2021-02-11,1.95,3,350
904057,Seattle Mini Home with Hot Tub and Private Deck,4678869,Errin,Ballard,West Woodland,47.66617,-122.36693,Entire home/apt,99,3,409,2021-04-02,4.13,1,261
942490,Charming Greenwood neighborhood flat,4705328,Lisa,Other neighborhoods,Greenwood,47.68944,-122.36508,Private room,80,2,120,2020-06-11,1.23,1,299
948077,Capitol Hill Garden Cottage - free parking,365687,Erik,Capitol Hill,Broadway,47.62845,-122.32513,Entire home/apt,135,2,353,2021-01-16,3.64,1,297
973859,Cozy and minutes from everything,5325813,,Central Area,Minor,47.60767,-122.30562,Entire home/apt,140,2,244,2019-10-13,2.59,4,48
977722,serene apartment close to UW,5282519,Elizabeth,University District,University District,47.6652,-122.30529,Entire home/apt,83,2,153,2021-01-16,1.57,1,52
1000883,Westside Hideaway,5486919,Nicole,West Seattle,North Admiral,47.58045,-122.39687,Entire home/apt,110,3,180,2021-03-01,1.91,1,78
1012003,Capitol Hill Gem in Great Location,5567436,,Capitol Hill,Montlake,47.63976,-122.32225,Private room,145,2,36,2019-10-20,0.38,1,230
1022135,"Contemporary, Cozy, and Warm Home",5387574,Sara,Northgate,Haller Lake,47.70609,-122.34168,Private room,82,30,9,2018-11-20,0.10,1,173
1023693,"Get Cozy at a Hip, Vintage-Style Retreat",5635244,Shannon,Ballard,Whittier Heights,47.67936,-122.3704,Entire home/apt,97,4,273,2021-03-21,2.93,2,156
1042022,Perfect Location by Lake Washington,5736221,Lene & Johnny,Capitol Hill,Madison Park,47.63326,-122.28009,Entire home/apt,89,2,276,2021-03-01,2.86,1,320
1043194,Bright&Sweet next to Convention Ctr,3294357,Rachel & Grace,Downtown,First Hill,47.61107,-122.32888,Entire home/apt,169,30,50,2020-08-22,0.54,4,280
1048798,"West Seattle Home, Dazzling View, Quiet & Tranquil",5774906,Carter,West Seattle,Fauntleroy,47.52586,-122.38272,Entire home/apt,170,2,326,2021-02-28,3.37,1,195
1063855,"Central District ""Green"" House",867039,Molly,Central Area,Mann,47.6122,-122.29777,Entire home/apt,131,30,13,2016-09-05,0.14,1,274
1071203,Beautiful Private Suite in the Heart of Seattle,2754788,Amaris,Other neighborhoods,Fremont,47.6552,-122.35937,Private room,99,30,30,2018-01-02,0.53,3,66
1097520,Relaxed sophistication in Mt. Baker,6031552,Jeanie,Rainier Valley,Mount Baker,47.56692,-122.28106,Entire home/apt,101,2,240,2021-03-25,2.50,1,0
1112092,Seattle Backyard Cottage-Queen Anne,5856339,Anne And Peter,Queen Anne,West Queen Anne,47.63531,-122.36653,Entire home/apt,135,6,46,2020-02-15,0.48,1,351
1114695,"100s Walkscore Garage Deck, Zoo, Green Lake, Fire Place.",165390,SeattleStays - Seth Gordon,Other neighborhoods,Wallingford,47.66215,-122.33879,Entire home/apt,295,25,71,2021-01-28,0.75,4,141
1121599,Classic Tug Boat,6153856,Sean,Cascade,Westlake,47.63425,-122.34046,Entire home/apt,141,30,484,2021-02-22,5.04,1,291
1122236,MODERN LUXURY on Capitol Hill,1121532,Melissa,Capitol Hill,Broadway,47.6233,-122.32596,Entire home/apt,119,2,135,2021-02-21,1.41,7,350
1125133,Elegant & Quiet walk to UW (49),3074414,Melissa,University District,University District,47.65775,-122.31663,Entire home/apt,89,1,35,2020-12-08,0.37,74,221
1142010,Small artsy house in vibrant Columbia City,928640,Carla,Rainier Valley,Columbia City,47.55449,-122.27707,Entire home/apt,70,2,0,,,1,25
1150519,Classic Craftsman - 95 Walk Score!,6305984,Sarah,University District,University District,47.67137,-122.3158,Entire home/apt,264,30,17,2018-06-27,0.18,1,287
1157083,Modern 2BR/2BA By ConventionCenter,3294357,Rachel & Grace,Downtown,First Hill,47.6117,-122.32929,Entire home/apt,265,3,56,2019-11-09,0.59,4,256
1159111,St. John's Apt. 203 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61385,-122.32245,Entire home/apt,129,3,115,2021-03-05,1.21,4,144
1159226,St. John's Apt. 304 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61385,-122.32245,Entire home/apt,124,3,62,2021-02-16,0.73,4,117
1175308,Ballard oasis in the pacific Northwest,6432543,Jenny,Ballard,Loyal Heights,47.67813,-122.3872,Entire home/apt,125,6,13,2019-08-21,0.14,1,105
1190224,A Quiet Room in a House by the Lake,6506114,Andy,Lake City,Matthews Beach,47.69424,-122.27725,Private room,60,30,30,2019-09-07,0.33,2,364
1190571,A Quiet Room in a House by the Lake,6506114,Andy,Lake City,Matthews Beach,47.69413,-122.2762,Private room,60,30,27,2019-07-21,0.29,2,364
1219691,Sweet 1920's cottage in N. Seattle,6654033,"April, Mike, And Maggie",Northgate,Haller Lake,47.73265,-122.3413,Entire home/apt,109,2,63,2020-12-23,0.67,1,291
1225820,Cozy Craftsman Top Floor Apartment,6530057,Chelsea,West Seattle,North Admiral,47.58068,-122.39654,Entire home/apt,98,5,140,2021-03-09,1.87,1,244
1256892,Daisy Mae's Guest Space - Phinney Ridge,6846442,Laurie,Other neighborhoods,Phinney Ridge,47.67758,-122.35822,Entire home/apt,107,2,216,2021-03-29,2.28,1,194
1260259,Zen Garden Oasis,3009864,Jessica,Magnolia,Lawton Park,47.66056,-122.40186,Entire home/apt,160,30,99,2020-10-10,1.05,1,330
1265651,Quiet Top floor 2 bedrooms 2 baths UW & Trail W/D,3074414,Melissa,University District,University District,47.66405,-122.30397,Entire home/apt,130,30,27,2020-08-19,0.32,74,365
1273432,Mod Green Built Home Central Seattle,6931145,Karen,Central Area,Minor,47.60188,-122.30785,Entire home/apt,279,3,30,2019-09-03,0.32,1,76
1307898,Large Capitol Hill Single Family,6569937,Glenn,Capitol Hill,Stevens,47.62636,-122.30993,Entire home/apt,500,30,27,2019-08-03,0.29,1,364
1309666,HOME 1.5 MI FROM PIKE PLACE MARKET,7119234,Gea,Other neighborhoods,Fremont,47.66279,-122.34879,Entire home/apt,90,30,29,2020-12-29,0.34,1,142
1351716,Sparkling Clean Guest House: Short/Long Rental,6592975,Huong And Bill,Central Area,Atlantic,47.59524,-122.30972,Entire home/apt,88,30,247,2021-03-01,2.64,1,208
1355094,Capitol Hill Excursion,5112492,Leah,Capitol Hill,Broadway,47.62328,-122.32378,Private room,29,30,166,2021-02-11,1.78,4,13
1356339,"Capitol Hill MODERN Apt,Great Location!",1121532,Melissa,Capitol Hill,Broadway,47.62214,-122.3257,Entire home/apt,119,2,162,2021-02-15,1.77,7,319
1365882,Serene W/D walk to UW/U Village 203,3074414,Melissa,University District,University District,47.6621,-122.30306,Entire home/apt,112,30,33,2019-09-14,0.36,74,340
1371152,University District Seattle modern 2bdrm townhouse,7435040,Chengying,University District,University District,47.65796,-122.31917,Entire home/apt,100,1,131,2021-03-11,2.87,8,230
1407502,Private garden room in hip Ballard,6136210,Nicole,Ballard,West Woodland,47.67431,-122.36797,Private room,70,30,27,2019-09-05,0.33,1,365
1416592,"Seattle House 
Available some dates 
checkcalendar",539515,Shari,Seward Park,Seward Park,47.55512,-122.26486,Entire home/apt,155,30,1,2016-11-26,0.02,2,363
1417880,Center UW 2 beds large Quiet  (210),3074414,Melissa,University District,University District,47.66147,-122.31356,Entire home/apt,79,30,27,2020-11-19,0.29,74,365
1439237,Beautiful Madrona Large Private,7730805,Stephanie,Central Area,Madrona,47.60824,-122.29009,Private room,88,31,92,2019-07-15,0.99,2,242
1472532,Downtown-5 mins walk to Pike Place!,453540,Sid,Downtown,Belltown,47.61372,-122.34542,Entire home/apt,79,30,540,2020-02-28,5.80,6,0
1484595,Steps to UW Center of attraction Modem & Cable TV,3074414,Melissa,University District,University District,47.65915,-122.31587,Entire home/apt,80,30,31,2020-07-01,0.34,74,301
1488166,Entire Ballard Home - Beautiful Sunset Hill,1212520,Jeremy And Rachael,Ballard,Sunset Hill,47.67595,-122.40073,Entire home/apt,295,7,66,2020-07-30,0.71,4,170
1494828,Modern and Clean 2 Bedroom in Eastlake/Lake Union,316200,William,Cascade,Eastlake,47.63996,-122.32414,Entire home/apt,142,30,234,2020-08-20,2.54,6,120
1520501,Io House (bunk 2L) - SLU walkable,1243056,Andy,Capitol Hill,Broadway,47.62463,-122.32021,Shared room,60,30,7,2019-09-03,0.09,2,0
1531351,Strong WiFi 3 Min walk UW Clean (7),3074414,Melissa,University District,University District,47.65703,-122.31769,Entire home/apt,87,30,30,2018-10-05,0.33,74,365
1531458,Remodeled Walk to UW/View/Serene #F,3074414,Melissa,University District,University District,47.66502,-122.30352,Entire home/apt,86,30,65,2020-10-19,0.70,74,359
1534622,"Quiet Private Room U Village, UW 6",3074414,Melissa,Other neighborhoods,Ravenna,47.66606,-122.29649,Private room,47,30,38,2021-02-24,0.41,74,0
1539463,Private room/bath - Madrona/Seattle,5312600,Rainer,Central Area,Mann,47.61398,-122.29674,Private room,78,25,60,2021-02-27,0.66,3,112
1541705,Quiet Room U Village Private Entrance /UW,3074414,Melissa,Other neighborhoods,Ravenna,47.66661,-122.29726,Private room,59,30,34,2019-11-01,0.37,74,322
1546870,Entire Townhouse in Fremont near Gas Works Park,1921132,Matthew,Other neighborhoods,Wallingford,47.64976,-122.33398,Entire home/apt,125,1,49,2020-09-20,0.90,1,9
1556170,1 Bdrm N. Beacon Hill Apt-West Unit,8284327,Anna,Beacon Hill,North Beacon Hill,47.57352,-122.30891,Entire home/apt,68,30,130,2020-06-02,1.43,2,291
