id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29393458,Quiet & Lovely Seattle Studio near Bus Stop!,221424541,Gilbert,Beacon Hill,Mid-Beacon Hill,47.55745,-122.30906,Entire home/apt,64,2,56,2021-02-23,1.95,1,299
29410063,Lots of outdoor living and comfortable family home,155139469,Helen,Other neighborhoods,Phinney Ridge,47.67853,-122.36176,Entire home/apt,200,4,12,2021-03-05,0.62,1,146
29421502,Cute Comfy 1 BR in Capitol Hill,82555495,Brian,Capitol Hill,Stevens,47.61775,-122.30996,Entire home/apt,93,1,134,2021-01-23,4.57,2,326
29485876,Turn Of The Century Capitol Hill Apartment,84470311,Parker,Capitol Hill,Broadway,47.61501,-122.3136,Entire home/apt,100,30,53,2021-01-21,1.87,4,79
29488633,ALKI BEACH PARADISE RETREAT ON THE WATER,30365082,Sarah,West Seattle,Alki,47.57822,-122.41277,Entire home/apt,159,3,19,2021-02-26,0.67,3,343
29519451,Cool Greenlake studio loft guest house,175744311,Ken,Other neighborhoods,Phinney Ridge,47.68165,-122.35101,Private room,62,2,60,2021-02-16,2.06,1,108
29538256,Cozy Private Room in North Seattle 1913 Craftsman!,14366778,,Other neighborhoods,Greenwood,47.70488,-122.34719,Private room,50,30,11,2019-05-31,0.39,5,167
29538361,Bright Private Room in North Seattle Crafstman,14366778,,Other neighborhoods,Greenwood,47.70442,-122.34819,Private room,50,30,9,2019-04-11,0.33,5,166
29538427,Peaceful Private room in North Seattle!,14366778,,Other neighborhoods,Greenwood,47.70289,-122.34737,Private room,50,30,6,2019-07-12,0.22,5,167
29577980,Great location near Downtown Seattle,96038005,Alben,Central Area,Leschi,47.59682,-122.29079,Entire home/apt,168,1,52,2020-03-16,1.84,4,129
29592136,"Downtown & Capitol Hill Meet, Free Parking Pass",40623437,Seth,Downtown,First Hill,47.61214,-122.3298,Entire home/apt,82,2,79,2021-03-07,2.72,1,68
29596565,"101, Heart of Capitol Hill, 2br., 1 bk to train.",76826485,Tiffany,Capitol Hill,Broadway,47.61824,-122.32185,Entire home/apt,165,30,80,2019-12-31,2.76,5,106
29636619,"CEDAR GROVE BY LAKE WASHINGTON, Private 1 BD Apt",223087943,Alice And  Lynn,Lake City,Matthews Beach,47.70891,-122.2774,Entire home/apt,120,90,17,2019-09-22,0.60,1,43
29652423,North Queen Ann Seattle,117448940,Lisa,Queen Anne,North Queen Anne,47.65466,-122.37139,Private room,50,30,0,,,1,0
29657673,Cozy Book-lined Studio in North Capitol Hill!,865961,James,Capitol Hill,Montlake,47.63942,-122.32067,Entire home/apt,110,2,28,2020-09-07,1.06,1,173
29657809,Private room at Seattle - near Ballard downtown,21892416,Amanda,Ballard,Loyal Heights,47.68966,-122.38171,Private room,48,30,8,2019-04-12,0.28,1,72
29677177,Heart of Capitol Hill Studio 9,33376933,Vivian,Capitol Hill,Broadway,47.619,-122.32506,Entire home/apt,60,30,165,2020-03-21,5.78,4,98
29683821,Green Suite Postmodern,212404,Piper + Kent,Other neighborhoods,Windermere,47.67364,-122.25986,Entire home/apt,93,5,11,2019-07-30,0.40,2,46
29737260,"The Windward- Seattle 3 Bd 2 Ba, Best Location!",39880373,BV West,Other neighborhoods,Fremont,47.66452,-122.36057,Entire home/apt,127,2,68,2021-01-31,2.47,2,0
29762331,"Cozy Private Ravenna Suite, 10 Minutes from UW!",118600611,Joanna,Other neighborhoods,Ravenna,47.67636,-122.29793,Entire home/apt,106,3,124,2021-03-04,4.31,1,176
29775779,A great getaway to the heart of Ballard!,21528698,Tara,Ballard,Adams,47.67494,-122.38684,Entire home/apt,75,30,15,2020-12-01,0.60,1,246
29776840,Beacon Hill Fireside,82377119,Michael,Beacon Hill,North Beacon Hill,47.57883,-122.30539,Entire home/apt,105,2,72,2021-03-14,2.51,1,101
29777784,Rain Haven (Modern City Living in Rainier Valley),10132017,Mariel,Rainier Valley,Brighton,47.53739,-122.2707,Entire home/apt,235,30,21,2019-08-26,0.81,1,46
29798397,"Lovely Treehouse Sanctuary, Ravenna, Private room.",7611538,Heather,Other neighborhoods,Roosevelt,47.6844,-122.31068,Private room,120,30,47,2020-09-30,1.71,1,365
29798498,Luxurious Downtown Seattle Studio Condo,100605868,Sharebnb,Downtown,Central Business District,47.61335,-122.33344,Entire home/apt,134,30,1,2018-12-12,0.04,1,74
29802192,Vintage Top Floor Apartment,84470311,Parker,Central Area,Minor,47.61398,-122.31293,Entire home/apt,100,2,101,2021-02-23,3.50,4,43
29849964,Gaze Over Seattle from a Capitol Hill Penthouse Deck,3738871,Ashley,Capitol Hill,Broadway,47.62744,-122.32225,Entire home/apt,220,4,51,2020-12-11,2.30,1,51
29877836,Modern home close to it all in heart of Ballard,224683101,Mark,Ballard,Adams,47.67231,-122.37922,Entire home/apt,199,3,3,2020-08-11,0.14,1,278
